smiles,homo,lumo,gap
CCOC(=O)C,-0.2654,0.0196,0.285
CCOC(=O)N,-0.2644,0.0591,0.3235
C[NH2+]CC([O-])=O,-0.2494,0.0196,0.2691
CC(=O)COC,-0.2449,-0.0102,0.2347
COCC(=O)N,-0.2464,0.0274,0.2738
C(CO)C(=O)N,-0.2471,0.0327,0.2798
[NH3+]CCC([O-])=O,-0.167,-0.0333,0.1338
CC(C)CCO,-0.2613,0.0807,0.342
CC(O)CCO,-0.2583,0.0719,0.3302
CCCC(C)C,-0.3042,0.0859,0.3901
CCCC(C)O,-0.2613,0.0739,0.3352
CCOC(C)C,-0.2458,0.0875,0.3333
CC(C)COC,-0.2508,0.0876,0.3384
COCC(C)O,-0.2581,0.0777,0.3359
CC(=O)C(=O)C,-0.2408,-0.0826,0.1582
CC(=O)C(=N)N,-0.2483,-0.0515,0.1968
CC(=O)C(=O)N,-0.2416,-0.0632,0.1784
NC(=[NH2+])C([O-])=O,-0.2349,-0.0376,0.1973
C(=O)(C(=O)N)N,-0.2422,-0.0321,0.21
CC(C)C(=O)C,-0.2389,-0.0081,0.2308
CC(C)C(=O)N,-0.2409,0.0371,0.278
CC([NH3+])C([O-])=O,-0.251,0.0174,0.2683
CC(O)C(C)=O,-0.263,-0.0258,0.2371
CC(O)C(N)=O,-0.26,0.0186,0.2786
CC(=O)N(C)C,-0.2342,0.0354,0.2696
CN(C)C(=O)N,-0.2306,0.0604,0.2909
CC(C)C(C)C,-0.3016,0.0822,0.3838
CC(C)C(C)O,-0.2613,0.0684,0.3297
CC(O)C(C)O,-0.2564,0.0643,0.3208
CC1(CCC1)C,-0.2837,0.0812,0.3649
CC1(CCO1)C,-0.2392,0.0812,0.3205
CC1(COC1)C,-0.2425,0.0728,0.3154
CC1(CCC1)O,-0.2526,0.0743,0.3269
CC1(COC1)O,-0.246,0.0616,0.3076
CC1(C)CC1O,-0.2497,0.083,0.3327
CC1(O)CC1O,-0.2427,0.0794,0.3221
CC1CC1(C)C,-0.2558,0.0887,0.3445
CC1CC1(C)O,-0.2458,0.0798,0.3256
CC1OC1(C)C,-0.2545,0.0923,0.3468
CC1(CN1C)C,-0.219,0.0873,0.3063
CC1CC(=N)O1,-0.2598,0.0305,0.2903
CC1CC(=O)C1,-0.2394,-0.0163,0.2231
CC1CC(=O)N1,-0.2465,0.0387,0.2852
CC1CC(=O)O1,-0.2737,0.0124,0.2861
CN1CC(=O)C1,-0.2304,-0.0233,0.2071
C1C(CC1=O)O,-0.242,-0.0206,0.2214
CC1CC(C)C1,-0.2832,0.0906,0.3739
CC1CC(C)O1,-0.2399,0.0942,0.3341
CC1CC(O)C1,-0.253,0.0788,0.3318
CN1CC(C1)O,-0.2196,0.0838,0.3034
OC1CC(O)C1,-0.2525,0.0691,0.3216
CC12CC(C1)C2,-0.2934,0.0984,0.3917
CC12CC(C1)O2,-0.2307,0.1012,0.3319
CC12CN(C1)C2,-0.2257,0.0834,0.3091
OC12CC(C1)C2,-0.2587,0.0809,0.3397
OC12CN(C1)C2,-0.2445,0.0682,0.3126
C#CC(=O)C#C,-0.28,-0.0898,0.1902
C#CC(=O)C#N,-0.3156,-0.121,0.1947
C(#N)C(=O)C#N,-0.3538,-0.1562,0.1977
C#CC(=O)C=O,-0.2672,-0.1181,0.1491
C(=O)C(=O)C#N,-0.2978,-0.1503,0.1475
C(=O)C(=O)C=O,-0.2606,-0.1455,0.1151
CC(C#C)C#C,-0.2622,0.034,0.2962
CC(C#C)C#N,-0.2879,0.0116,0.2995
CC(C#N)C#N,-0.3433,-0.0129,0.3304
NC(C#C)C#N,-0.2798,-0.003,0.2768
C(#N)C(C#N)N,-0.3037,-0.0279,0.2758
C#CC(C#C)O,-0.2708,0.0039,0.2747
OC(C#C)C#N,-0.3019,-0.0199,0.2821
C(#N)C(C#N)O,-0.3463,-0.0464,0.3
CC(C=O)C#C,-0.2536,-0.0324,0.2213
CC(C=O)C#N,-0.2801,-0.0545,0.2256
OC(C=O)C#C,-0.2709,-0.0493,0.2216
OC(C=O)C#N,-0.3073,-0.0733,0.234
CC(C=O)C=O,-0.2559,-0.0573,0.1986
CN(C=N)C=O,-0.2595,-0.0171,0.2424
CN(C=O)C=O,-0.2725,-0.0352,0.2374
C(=O)C(C=O)O,-0.2649,-0.0663,0.1986
CN=C(C#N)N,-0.2622,-0.0399,0.2223
CN=C(C=O)N,-0.2476,-0.0605,0.187
CCC(=O)C#C,-0.264,-0.0552,0.2087
CCC(=O)C#N,-0.2976,-0.0854,0.2122
CNC(=N)C#N,-0.2527,-0.0407,0.2121
CNC(=O)C#C,-0.2591,-0.0243,0.2349
COC(=O)C#C,-0.2806,-0.0424,0.2382
COC(=O)C#N,-0.3197,-0.0717,0.248
C#CC(=O)CO,-0.2661,-0.0573,0.2088
C(C(=O)C#N)O,-0.3004,-0.0881,0.2122
CCC(=O)C=O,-0.2515,-0.0944,0.1571
CNC(=N)C=O,-0.2388,-0.0681,0.1707
CNC(=O)C=O,-0.2505,-0.0726,0.178
COC(=O)C=O,-0.2683,-0.0862,0.1821
C(C(=O)C=O)O,-0.2516,-0.0953,0.1563
CCC(=O)CC,-0.2412,-0.0057,0.2356
CCC(=O)CO,-0.2429,-0.0073,0.2356
CCC(=O)NC,-0.2422,0.0378,0.28
CCC(=O)OC,-0.268,0.0192,0.2871
CNC(=O)CO,-0.2433,0.0274,0.2707
CNC(=O)NC,-0.2383,0.067,0.3052
CNC(=O)OC,-0.2496,0.0662,0.3158
COC(=O)CN,-0.2466,0.015,0.2616
COC(=O)CO,-0.2705,0.0032,0.2737
C(C(=O)CO)O,-0.2447,-0.01,0.2348
CC(=NC)OC,-0.2427,0.0334,0.2761
CC(CO)C#C,-0.2613,0.0553,0.3166
CC(CO)C#N,-0.2896,0.035,0.3246
CCC(C)C#C,-0.2575,0.0581,0.3157
CCC(C)C#N,-0.3144,0.0383,0.3527
CCC(N)C#N,-0.2695,0.0286,0.298
CCC(O)C#C,-0.2649,0.0332,0.2982
CCC(O)C#N,-0.3028,0.0117,0.3145
CNC(C)C#N,-0.2424,0.0288,0.2711
COC(C)C#C,-0.2538,0.0395,0.2933
COC(C)C#N,-0.2865,0.0177,0.3042
NC(CO)C#N,-0.2619,0.0215,0.2834
NCC(N)C#N,-0.2534,0.0266,0.28
NCC(O)C#N,-0.2549,0.0078,0.2627
OCC(O)C#C,-0.2624,0.0188,0.2813
OCC(O)C#N,-0.2878,-0.0038,0.2839
CC(CO)C=O,-0.2523,-0.0219,0.2304
CCC(C)C=O,-0.2451,-0.0181,0.227
CCC(O)C=O,-0.2736,-0.0372,0.2365
CCN(C)C=O,-0.2407,0.0328,0.2735
COC(C)C=O,-0.2545,-0.0276,0.2269
OCC(O)C=O,-0.2662,-0.0476,0.2186
CC(CO)CO,-0.2607,0.0735,0.3342
CCC(C)CC,-0.303,0.0843,0.3874
CCC(C)CO,-0.2625,0.0783,0.3408
CCC(C)OC,-0.248,0.0861,0.3341
CCC(CC)O,-0.2621,0.0721,0.3342
CCC(O)CO,-0.256,0.0618,0.3178
COC(C)CO,-0.2545,0.079,0.3335
C(C(CO)O)O,-0.2606,0.049,0.3096
CC1(CC1)C#C,-0.24,0.0571,0.2972
CC1(CC1)C#N,-0.2853,0.037,0.3224
CC1(CN1)C#C,-0.2444,0.0441,0.2885
CC1(CN1)C#N,-0.2743,0.0226,0.2969
CC1(CO1)C#C,-0.2616,0.0263,0.2879
CC1(CO1)C#N,-0.3007,0.0031,0.3038
C1CC1(C#N)N,-0.2722,0.029,0.3012
C#CC1(CC1)O,-0.2424,0.035,0.2774
C1CC1(C#N)O,-0.2828,0.0136,0.2964
CC1(CC1)C=O,-0.2482,-0.0141,0.2341
CC1(CN1)C=O,-0.2483,-0.0234,0.2249
CC1(CO1)C=O,-0.2592,-0.0374,0.2218
C1CC1(C=O)O,-0.2519,-0.0315,0.2204
CC1(CC1)CO,-0.2616,0.0757,0.3373
CC1(CO)CN1,-0.2463,0.0724,0.3186
CC1(CO)CO1,-0.2611,0.081,0.3421
CCC1(CC1)C,-0.2627,0.0859,0.3486
CCC1(C)CO1,-0.2587,0.0877,0.3465
CCC1(CC1)O,-0.2519,0.0723,0.3242
CC1(CC1)OC,-0.245,0.0897,0.3348
C1CC1(CO)O,-0.2421,0.0639,0.306
CC1CCC1=O,-0.2374,-0.0163,0.2211
CC1CNC1=O,-0.2452,0.0373,0.2825
CC1COC1=N,-0.2615,0.0284,0.2899
CC1COC1=O,-0.2726,0.0099,0.2825
CC1NCC1=O,-0.2421,-0.0238,0.2182
CC1OCC1=O,-0.2575,-0.0323,0.2252
CN1CCC1=O,-0.2414,0.0394,0.2809
NC1COC1=N,-0.2491,0.0196,0.2687
NC1COC1=O,-0.2481,0.0012,0.2493
OC1CCC1=O,-0.2509,-0.0284,0.2226
OC1CNC1=O,-0.2475,0.0204,0.2679
OC1COC1=N,-0.2717,0.0123,0.284
OC1COC1=O,-0.2674,-0.0058,0.2616
CC1CCC1C,-0.2822,0.0842,0.3663
CC1CCC1O,-0.2522,0.0751,0.3274
CC1COC1C,-0.2398,0.085,0.3248
CC1OCC1O,-0.2442,0.0626,0.3069
OC1CCC1O,-0.2476,0.0591,0.3067
N=C1CN=CN1,-0.2323,-0.0049,0.2275
C1C=CCC1=O,-0.2409,-0.0164,0.2245
C1C=CNC1=O,-0.2165,-0.0013,0.2152
C1C(=O)NC=N1,-0.25,-0.0182,0.2318
C1C(=O)OC=N1,-0.2793,-0.0315,0.2478
N=C1OCC=C1,-0.2462,-0.0302,0.216
C1CC(=O)C=C1,-0.2366,-0.0429,0.1938
C1C=CC(=O)N1,-0.2428,-0.0263,0.2166
N=C1CCCO1,-0.2549,0.0316,0.2866
N=C1COCO1,-0.272,0.0187,0.2907
N=C1OCCO1,-0.2556,0.0548,0.3105
C1CCC(=O)C1,-0.235,-0.0124,0.2226
C1CC(=O)NC1,-0.237,0.0377,0.2747
C1CC(=O)OC1,-0.2646,0.0149,0.2795
C1COCC1=O,-0.2439,-0.0253,0.2186
C1C(=O)OCO1,-0.2775,-0.0003,0.2772
C1CNC(=O)N1,-0.2457,0.0629,0.3086
C1COC(=O)N1,-0.2632,0.052,0.3152
C1COC(=O)O1,-0.2935,0.0401,0.3336
CC1=CCCC1,-0.2238,0.037,0.2608
CC1=CCOC1,-0.2252,0.0249,0.2501
CC1=NCCO1,-0.2399,0.0319,0.2718
CC1CC=CC1,-0.2335,0.0313,0.2648
CC1CN=CO1,-0.246,0.0261,0.2721
OC1CC=CC1,-0.2461,0.0209,0.267
CC1CCC=C1,-0.2341,0.03,0.2642
CC1COC=N1,-0.2473,0.0239,0.2712
CC1OCC=C1,-0.2302,0.0182,0.2484
OC1CCC=C1,-0.2491,0.0142,0.2633
CC1CCCC1,-0.3044,0.0828,0.3872
CC1CCCO1,-0.2379,0.0868,0.3246
CC1CCOC1,-0.2381,0.0839,0.322
CC1COCO1,-0.2502,0.0904,0.3406
CC1OCCO1,-0.2542,0.0896,0.3439
C1CCC(C1)O,-0.2601,0.0738,0.3338
OC1CCOC1,-0.2428,0.0712,0.314
CC1C(C)C1C,-0.2571,0.0841,0.3412
CC1C(C)C1O,-0.2441,0.0725,0.3165
CC1C(C)N1C,-0.2104,0.0826,0.293
CC1C(O)C1O,-0.2301,0.0537,0.2838
OC1C(O)C1O,-0.2552,0.0505,0.3058
CC12CC1CC2,-0.243,0.0951,0.338
CC12CC1CO2,-0.2287,0.0868,0.3155
CC12CC1OC2,-0.2293,0.0805,0.3098
CC12CCC1O2,-0.2442,0.0955,0.3397
OC12CC1CC2,-0.2475,0.0834,0.3309
OC12CC1OC2,-0.2318,0.0706,0.3024
C#CC#CC#C,-0.2465,-0.0565,0.19
C#CC#CC#N,-0.284,-0.085,0.199
C(#CC#N)C#N,-0.3277,-0.1164,0.2113
C#CCCC#C,-0.2615,0.0391,0.3006
C#CCCC#N,-0.2821,0.0193,0.3014
C(CC#N)C#N,-0.3397,-0.0013,0.3384
C#CC#CC=O,-0.275,-0.0922,0.1828
C(=O)C#CC#N,-0.3053,-0.1211,0.1843
C(=O)C#CC=O,-0.2894,-0.0927,0.1966
N=COCC#C,-0.2698,0.0135,0.2834
N=COCC#N,-0.2899,-0.0071,0.2828
C#CCCC=O,-0.2549,-0.0302,0.2247
C(CC#N)C=O,-0.274,-0.0464,0.2276
C#CCNC=O,-0.2561,0.0191,0.2752
C(C#N)NC=O,-0.2788,-0.0017,0.2772
C#CCOC=O,-0.2819,-0.0051,0.2768
C(C#N)OC=O,-0.3057,-0.0259,0.2797
N=COCC=O,-0.2626,-0.0461,0.2165
C(CC=O)C=O,-0.2578,-0.0386,0.2193
C(C=O)NC=O,-0.2579,-0.0377,0.2203
C(C=O)OC=O,-0.2773,-0.0513,0.226
CC#CC#CC,-0.2265,0.0026,0.2291
CC#CCC#C,-0.2479,0.0422,0.2901
CC#CCC#N,-0.2693,0.0206,0.2899
CC#CCC=O,-0.2463,-0.0269,0.2194
CN=CNC=O,-0.2408,-0.0172,0.2236
CN=COC=O,-0.2771,-0.0239,0.2532
CCC#CC#C,-0.2405,-0.0092,0.2313
CCC#CC#N,-0.2842,-0.0374,0.2468
C#CC#CCO,-0.2442,-0.024,0.2202
C(C#CC#N)O,-0.2849,-0.0526,0.2323
CCC#CC=O,-0.2632,-0.0579,0.2053
C(C#CC=O)O,-0.2682,-0.0625,0.2057
CCC#CCC,-0.239,0.0588,0.2979
CCC#CCO,-0.2418,0.0372,0.279
C(C#CCO)O,-0.2515,0.0292,0.2807
CCN=COC,-0.2447,0.0282,0.2729
CC#CCCO,-0.2431,0.0619,0.305
CCCC#CC,-0.2397,0.0646,0.3043
CC#CCOC,-0.2424,0.0413,0.2837
CCOC=NC,-0.2456,0.0272,0.2729
CCCCC#C,-0.2579,0.0587,0.3166
CCCCC#N,-0.3164,0.0376,0.354
CCNCC#N,-0.2476,0.023,0.2706
CCOCC#C,-0.2547,0.0346,0.2893
CCOCC#N,-0.2825,0.0109,0.2934
COCCC#C,-0.2584,0.0547,0.3131
COCCC#N,-0.2751,0.0324,0.3075
C#CCCCO,-0.2594,0.0564,0.3158
C(CC#N)CO,-0.282,0.0354,0.3174
CCCCC=O,-0.248,-0.0188,0.2292
CCCNC=O,-0.2492,0.034,0.2832
CCCOC=O,-0.2771,0.0095,0.2866
CCOCC=O,-0.2564,-0.027,0.2294
COCCC=O,-0.2544,-0.0258,0.2285
C(CC=O)CO,-0.2512,-0.0209,0.2303
C(CO)NC=O,-0.2477,0.0352,0.2828
OCCOC=N,-0.27,0.0147,0.2847
C(COC=O)O,-0.281,0.0033,0.2843
CCCCCC,-0.3039,0.0917,0.3957
