smiles,lumo,gap,energy,ionization_potential aip,electron_affinity aea
c1nnc2c(n1)c1sc3c4ccsc4[nH]c3c1c1ccsc12,-8.67524631,1.84698736,-58.77654949,11.90823192,-6.938947273
c1ccc2c(c1)sc1c3c([nH]c12)-c1[nH]c2c(sc4cc[se]c42)c1C3,-7.75694741,2.08446503,-62.69420113,11.22053916,-6.392769032
c1cc2sc3c4c([nH]c3c2[nH]1)-c1sc2ccsc2c1C4,-7.69482205,2.08794822,-53.49824937,11.37403921,-5.973622858
C1=CC2=C(OC1)c1cc3sc4c(c3cc1CO2)Cc1c-4sc2ccccc12,-8.44640465,1.64111159,-72.97261565,11.41096127,-7.059742759
C1=Cc2[nH]c3c([se]c4c3sc3c4sc4[nH]c5ccccc5c43)c2C1,-7.608235,2.16810063,-62.69641707,11.16965465,-6.311637699
c1ccc2c(c1)Cc1nc3c(ccc4c5[nH]c6c(sc7c6sc6c8cc[nH]c8sc67)c5sc43)nc1-2,-8.36130038,1.86218215,-91.14399467,11.08389983,-7.192075879
C1=CC2=C(CO1)c1[nH]c3sc4c(c3c1C2)Cc1c-4sc2c1OCc1ccsc1-2,-8.04349097,1.76289708,-77.19317568,11.01101899,-6.78311466
c1cc2[nH]c3cc4c(cc3c2[nH]1)sc1c4sc2c3[se]ccc3[se]c12,-7.78214175,2.12893125,-62.86887912,11.09589625,-6.306267801
c1cc2[nH]c3c4cc5sc6c7[nH]c8ccsc8c7sc6c5cc4sc3c2[nH]1,-7.78894167,2.11351778,-71.53156359,11.0009954,-6.417936856
c1cc2sc3c([nH]c4ccc5sc6c7ccc8nsnc8c7[nH]c6c5c43)c2[nH]1,-8.35324588,1.97641492,-74.21265082,11.42717627,-6.940903773
c1cc2cc3c(cc2[nH]1)sc1cc2c(cc13)CC1=C2Cc2ccoc21,-8.05728513,2.17189214,-65.12686317,11.45964464,-6.633357264
C1=Cc2[se]c3cc4c(cc3c2C1)Cc1c-4sc2c1sc1ccsc12,-8.17326134,1.9926572,-62.11211958,11.45870204,-6.752726329
C1=Cc2c3c(c4nsnc4c2C1)Cc1c-3sc2c1sc1c2sc2cc[se]c21,-8.744837,1.6558819,-71.09292133,11.62987671,-7.312152712
c1ccc2c(c1)Cc1c-2c2[nH]ccc2c2c1sc1[nH]c3c([nH]c4c5sccc5sc34)c12,-7.6651464,2.28659826,-80.58013543,11.02764652,-6.612990892
c1cc2c(s1)C1=C(C2)c2cc3[nH]c4c(c3cc2C1)COc1ccsc1-4,-8.13070788,1.80859724,-66.7043515,11.33678789,-6.71632183
c1ccc2c(c1)Cc1c-2c2[nH]c3c4cc5c(ccc6nc7c(ccc8ccccc87)nc65)cc4[se]c3c2c2c1[se]c1cc3c(cc12)c1ccsc1c1nsnc31,-8.89279166,1.68603204,-140.8179897,11.10020708,-8.148015899
c1ccc2c(c1)Cc1c-2sc2[nH]c3cc4cc5cc[se]c5cc4cc3c12,-8.08452181,1.9990175,-65.89181465,11.37809697,-6.79847604
c1cc2c([nH]1)[nH]c1c2sc2c1sc1ccc3sc4ccsc4c3c12,-7.73918262,2.31930214,-63.56391821,11.29452124,-6.237566907
C1=Cc2sc3c([nH]c4cc5sc6c(sc7c8[nH]c9c(c8sc76)-c6ccc7n[nH]nc7c6C9)c5cc43)c2C1,-7.96586238,2.15343375,-96.96496723,10.89398929,-7.220932752
c1cc2c([nH]1)sc1c3[nH]c4sc5c6c(ccc5c4c3sc21)-c1sc2cc[nH]c2c1C6,-7.51314042,2.32923711,-78.95515938,10.84493476,-6.3860753
c1cc2nc3ccc4c(c3nc2cn1)-c1sc2c(sc3oc5cc6cc7cc[nH]c7cc6cc5c32)c1C4,-9.11040332,1.32989019,-95.85442615,11.34432436,-7.788312484
c1cc2sc3c(c2s1)Cc1c-3sc2c1sc1c3ccc4n[se]nc4c3sc21,-8.76399017,1.61736189,-71.60308187,11.61396403,-7.387788431
C1=Cc2sc3c4c(sc3c2C1)-c1sc2c(sc3ccoc32)c1C4,-8.29293032,1.76753665,-61.83667786,11.57699244,-6.6960292
c1cc2cc3sc4c(c3cc2s1)Cc1c-4sc2ccsc12,-8.26215628,2.02186299,-55.04399189,11.74865692,-6.639528266
c1cc2c([nH]1)-c1sc3cc4c(cc3c1C2)sc1c2cc[nH]c2[nH]c41,-7.6129251,2.16346516,-63.08726371,11.07454482,-6.063958175
c1cc2sc3c4sc5c(c4sc3c2[nH]1)Cc1c-5sc2c1sc1ccsc12,-8.16190922,1.76161203,-69.32830074,11.22449814,-6.675355067
c1ccc2c(c1)[se]c1c3c([nH]c12)-c1sc2c(sc4ccsc42)c1C3,-8.01124888,1.9771051,-62.661741,11.3503223,-6.567461322
c1cc2c(s1)-c1c(c3nc4c5nsnc5c5nsnc5c4nc3c3sc4c5[nH]c6c7[nH]c8ccsc8c7sc6c5[nH]c4c13)C2,-8.74429135,1.66478888,-117.0595509,11.17027861,-7.821543045
C1=Cc2sc3c(c2C1)CC1=C3Cc2cc3c(cc21)Cc1c-3sc2ccccc12,-8.4044666,1.69648385,-70.98727201,11.39486681,-7.071610739
c1cc2cc3sc4c(sc5c4sc4c6sccc6[se]c45)c3cc2[nH]1,-8.02634084,2.08652695,-63.1856926,11.33397967,-6.561672913
C1=CC2=C(C1)C1=C(C2)c2[nH]c3c([se]c4c5[nH]ccc5sc34)c2C1,-7.92881044,1.55777749,-60.04778348,11.03158047,-6.303952927
c1ccc2c(c1)sc1c3c([se]c12)-c1[nH]c2c(sc4cc[nH]c42)c1C3,-7.85643172,1.96817917,-62.70081529,11.20369612,-6.339057266
c1cc2sc3c4c([nH]c3c2s1)-c1sc2c(sc3c2sc2[nH]c5ccsc5c23)c1C4,-7.87710794,1.88005584,-77.28771949,10.94829835,-6.628772688
C1=Cc2sc3c(sc4cc5c(cc43)sc3c4cc6sccc6cc4sc53)c2C1,-8.33904783,1.98616904,-72.52686746,11.40859306,-7.091997248
C1=Cc2[nH]c3c(c2C1)-c1c(c2nc4c5ccsc5c5sccc5c4nc2c2c4nncnc4c4c5sccc5sc4c12)C3,-8.94120616,1.28064617,-111.2442474,11.12793822,-7.654706687
c1cc2c([nH]c3c2sc2c4[nH]c5c6nsnc6c6sc7ccsc7c6c5c4sc32)s1,-8.43915873,1.87403703,-80.47877061,11.36583742,-7.071494547
C1=Cc2[nH]c3cc4c(cc3c2OC1)sc1c2cc3sccc3cc2sc41,-8.21979381,1.79029038,-69.34029162,11.29316829,-6.844326432
C1=Cc2c(ccc3cc4c(cc23)-c2sc3ccsc3c2C4)C1,-8.25596203,2.2016606,-56.14497013,11.8086469,-6.766529856
c1cc2c([nH]1)c1nsnc1c1sc3[nH]c4c5sccc5[se]c4c3c21,-8.30065236,2.05155565,-64.27308215,11.55357404,-6.701602911
c1cc2nc3c(nc2cn1)c1[nH]c2sc4c5sccc5sc4c2c1c1c3[nH]c2ccsc21,-8.80958061,1.68309513,-84.25522975,11.37763628,-7.329534538
c1cc2cc3[se]c4c(c3cc2[nH]1)Cc1c-4sc2c1CC1=C2CC2=C1CCC2,-8.09152358,1.57273281,-70.16124716,11.03939668,-6.593945905
c1cc2sc3c(c2s1)Cc1cc2c(cc1-3)COc1c-2sc2ccsc12,-8.24893809,1.9557421,-67.17352604,11.52073995,-6.827348423
c1cc2c(s1)C1=C(C2)c2sc3c(sc4cc[se]c43)c2C1,-8.19988478,1.72468332,-52.55760251,11.55661083,-6.477521386
c1cc2[nH]c3c(c2s1)CC1=C3Cc2c1c1c([nH]c3ccsc31)c1nsnc21,-8.49391929,1.57352523,-71.52308142,11.42516861,-6.975332724
C1=Cc2sc3c(c2C1)c1c(c2nsnc23)Cc2[nH]c3c(c2-1)Cc1cc[nH]c1-3,-8.42254122,1.76938453,-71.00023573,11.44551104,-6.860603203
c1nnc2ccc3c(c2n1)C1=C(C3)c2sc3c4c(sc3c2C1)-c1sccc1C4,-8.92267372,1.3294059,-73.06224167,11.52255821,-7.456432181
c1cc2c([nH]1)c1nc3c4nsnc4c4nsnc4c3nc1c1[nH]c3c4sc5c6sccc6sc5c4sc3c21,-8.75827847,1.87505066,-101.6905948,11.4763606,-7.832505702
c1cc2nc3c4c(c5c(c3nc2cn1)Cc1c-5sc2ccsc12)-c1[nH]c2ccc3[se]c5c(sc6[nH]c7c(c65)Cc5ccsc5-7)c3c2c1C4,-8.87516091,1.41206882,-123.6426976,10.85896523,-7.707186593
c1ccc2c(c1)sc1c2sc2c1sc1c3sc4c(ccc5n[nH]nc54)c3sc12,-8.36317959,2.13595492,-74.12336663,11.59068086,-7.174243432
C1=CC2=C(C1)c1sc3c(c1C2)Cc1cc2c(cc1-3)Cc1c-2sc2ccccc12,-8.38358058,1.71985896,-70.9871584,11.38805553,-7.075757212
C1=Cc2sc3sc4cc5c6c(sc5cc4c3c2C1)-c1sccc1C6,-8.1198822,2.14449805,-62.45663491,11.54957886,-6.784370738
C1=Cc2sc3c(sc4cc5c6c(sc5cc43)-c3sc4c(sc5ccsc54)c3C6)c2C1,-8.38910294,1.74604752,-78.32390073,11.23890631,-7.149063091
C1=Cc2c3c(c4nsnc4c2C1)Cc1c-3sc2cc3c(cc12)[nH]c1[se]ccc13,-8.62283106,1.73688748,-72.75132253,11.49002426,-7.176326193
c1cc2cc3c(cc2[nH]1)C1=C(C3)c2sc3c(sc4ccsc43)c2C1,-8.15337142,1.83590362,-62.50888435,11.38261243,-6.604499847
c1ccc2c(c1)Cc1c-2sc2ccc3sc4c5sccc5sc4c3c12,-8.2601814,2.20524913,-64.60021696,11.71933473,-6.858187103
c1cc2cc3cc4c(cc3cc2s1)-c1[nH]c2c(sc3ccsc32)c1C4,-8.18074512,2.02939517,-64.62559482,11.44996881,-6.795522514
c1cc2sc3c(sc4c5nsnc5c5sccc5c43)c2[nH]1,-8.60511074,2.00616617,-56.65035739,12.01947103,-6.800932685
c1cc2[se]c3c(sc4c5nsnc5c5[se]c6c7[nH]ccc7sc6c5c43)c2[nH]1,-8.36704264,1.88807016,-71.85928569,11.32599857,-6.792662868
c1cc2c(s1)-c1cc3sc4c(sc5c6sc7cc8ccsc8cc7c6sc45)c3cc1C2,-8.35592471,1.99143464,-80.46464539,11.31433223,-7.188222201
c1cc2[nH]c3c(c2[nH]1)CC1=C3Cc2ccc3sc4ccsc4c3c21,-7.91651407,1.88567393,-62.54016137,11.263771,-6.364470536
c1cc2sc3cc4c(cc3c2s1)sc1c2[nH]c3sc5c6sccc6sc5c3c2sc41,-7.9990973,2.21071187,-79.38687437,11.15745932,-6.905323506
C1=Cc2cc3sc4c(c3cc2C1)Cc1cc2c3c(sc2cc1-4)C=CC3,-8.26251878,2.08878373,-63.56941076,11.60321525,-6.918651378
C1=Cc2sc3c(c2CO1)COc1c-3sc2c1sc1c2sc2c3sccc3sc21,-8.3805674,1.56196363,-78.18917467,11.24743953,-6.97520728
c1cc2[nH]c3c(sc4[nH]c5c([nH]c6c5sc5c6sc6ccc7nsnc7c65)c43)c2s1,-8.45519364,1.7244055,-80.50220409,11.23470895,-7.041850719
C1=Cc2sc3c(c2C1)Cc1c-3sc2c1sc1c3ccsc3[nH]c21,-8.03058661,1.83768887,-60.87195187,11.34017135,-6.477616898
c1cc2c([nH]c3c2[se]c2c4[nH]c5c(sc6ccc7n[se]nc7c65)c4[se]c32)s1,-8.45752967,1.55430833,-71.49342297,11.23370702,-6.915345465
C1=Cc2sc3c(c2C1)Cc1cc2c4c(sc2cc1-3)C1=C(C4)c2ccccc2C1,-8.37647638,1.7772188,-70.98637313,11.41443045,-7.079549393
c1cc2c(s1)-c1[nH]c3c(sc4c3[nH]c3c5sccc5sc34)c1C2,-7.77045264,2.04174153,-61.42405398,11.24506697,-6.325270882
C1=Cc2sc3c([se]c4ccc5ccc6c7sccc7sc6c5c43)c2CO1,-8.18046823,2.03429859,-68.94374011,11.44772958,-6.820222574
c1cc2[se]c3c([se]c4c3[se]c3[nH]c5c([nH]c6ccc7n[se]nc7c65)c34)c2[se]1,-8.24054321,1.72390619,-70.79182723,11.0606817,-6.84946721
C1=Cc2oc3[nH]c4c5sc6sc7c(sc8ccc9nsnc9c87)c6c5[se]c4c3c2C1,-8.59665853,1.84942376,-80.55547941,11.43253283,-7.278971131
c1cc2c([nH]c3c4[nH]c5c(sc6c5sc5ccc7nc8c9ccsc9c9sccc9c8nc7c56)c4sc23)s1,-8.58824014,1.59520223,-99.57973233,10.99712676,-7.299475193
c1cnc2c(n1)c1cc[nH]c1c1sc3c4sc5c([nH]c6cc[se]c65)c4[se]c3c21,-8.16211493,1.86664101,-73.48067806,11.12686282,-6.808528747
c1cc2c(s1)-c1[se]c3cc4cc5c(cc4cc3c1C2)sc1c5sc2c3ccc4nsnc4c3[se]c21,-8.74939868,1.59979395,-90.34837985,11.30044652,-7.698029684
