idx,smiles
45,A---)!CF@CG[8l!CF@CF[8l===============================================
46,A---)!CH@CF[8l!CF@CF[8l===============================================
47,A---)@CF[8l!CF!CF@CF[8l===============================================
48,A---)@CF[8l!CF!CH@CF[8l===============================================
49,A-_-)!CF#CF&*)!CF4!CG!CH==============================================
50,A_-_-)@CG[8l!CF4!CF!CF4@CF[8l=========================================
51,A_-_-)@CG[8l!CF4!CF!CG4@CF[8l=========================================
52,A_-_-)@CH[8l!CF4!CF!CF4@CF[8l=========================================
53,A_-_-)@CH[8l!CF4!CF!CG4@CF[8l=========================================
54,A--)!CF#CF]&*)!CF*)!CF!CF=============================================
55,A--)!CF#CF]&*)!CF*)!CF!CH=============================================
56,A_--)!CF#CF&(4)!CH!CF5!CF=============================================
57,A_--)!CF#CF&(4)!CH!CF5!CG=============================================
58,A_--)!CG#CF&(4)!CG!CF5!CG=============================================
59,A_--)!CG#CF&(4)!CH!CF5!CF=============================================
60,A_--)!CF#CF&(4)!CH!CF4!CH=============================================
61,A_--)!CG#CF&(4)!CG!CF4!CH=============================================
62,A_--)!CG#CF&(4)!CH!CF4!CH=============================================
63,A_--)!CF#CF&*)!CF!CF5!CF==============================================
64,A_--)!CF#CF&*)!CF!CF5!CG==============================================
65,A_--)!CF#CF&*)!CG!CF5!CG==============================================
66,A_--)!CF#CF&*)!CH!CF5!CF==============================================
67,A_--)!CF#CF&*)!CH!CF5!CG==============================================
68,A_--)!CF#CF&*)!CF!CF4!CH==============================================
69,A_--)!CF#CF&*)!CH!CF4!CH==============================================
70,A_--)!CF#CG&*)!CF!CF4!CH==============================================
71,A---)!CF#CF&(4)!CH!CF!CH==============================================
72,A_--)!CF!CF#CF&*)!CF4!CH==============================================
73,A_--)!CF!CF#CF&*)!CG4!CH==============================================
74,A_--)!CF!CG#CF&*)!CF4!CH==============================================
75,A_--)!CF!CG#CF&*)!CG4!CH==============================================
76,A_--)!CF!CH#CF&*)!CF4!CG==============================================
77,A_--)!CF!CH#CF&*)!CF4!CH==============================================
78,A_--)!CF!CH#CF&*)!CG4!CH==============================================
79,A---)!CG#CF&(4)!CH!CF!CH==============================================
80,A---)!CF#CF&*)!CF!CF!CH===============================================
81,A---)!CF#CF&*)!CH!CF!CH===============================================
82,A---)!CF!CF#CF&*)!CF!CF===============================================
83,A---)!CF!CF#CF&*)!CF!CH===============================================
84,A---)!CF!CH#CF&*)!CF!CF===============================================
85,A---)!CF$CF[8l&*)!CF!CF@CF[8l=========================================
86,A---)!CF$CF[8l&*)!CF!CF@CH[8l=========================================
87,A---)!CF$CF[8l&*)!CH!CF@CF[8l=========================================
88,A---_)!CG4@CF[8l!CF!CF@CH[8l==========================================
89,A---_)!CH4@CF[8l!CF!CF@CF[8l==========================================
90,A---_)!CH4@CF[8l!CF!CF@CG[8l==========================================
91,A---_)!CH4@CF[8l!CF!CF@CH[8l==========================================
92,A---_)!CH4@CF[8l!CF!CG@CF[8l==========================================
93,A---_)!CH4@CF[8l!CF!CH@CF[8l==========================================
94,A----)!CF@CF[8l!CF!CF@CF[8l===========================================
95,A----)!CF@CF[8l!CF!CF@CH[8l===========================================
96,A----)!CF@CF[8l!CF!CH@CF[8l===========================================
97,A----)!CH@CF[8l!CF!CF@CF[8l===========================================
98,A----)!CH@CF[8l!CF!CH@CF[8l===========================================
99,A----)!CF@CF[8l!CF@CF[8l!CF===========================================
100,A----)!CF@CF[8l!CF@CF[8l!CH===========================================
101,A----)!CF@CF[8l!CF@CG[8l!CF===========================================
102,A----)!CF@CF[8l!CH@CF[8l!CF===========================================
103,A----)!CH@CF[8l!CF@CF[8l!CH===========================================
104,A----)@CF[8l@CF[8m!CF@CF[8l@CF[8m=====================================
105,A----)@CF[8l@CF[8m!CF@CF[8l@CH[8m=====================================
106,A_--_)!CF5!CF!CF!CF5!CF===============================================
107,A_--_)!CF5!CF!CF!CF5!CG===============================================
108,A_--_)!CG5!CF!CF!CF5!CG===============================================
109,A_--_)!CH4!CF!CF!CF5!CF===============================================
110,A_--_)!CH4!CF!CF!CF5!CG===============================================
111,A_--_)!CG4!CF!CG!CF4!CH===============================================
112,A_--_)!CG4!CF!CH!CF4!CH===============================================
113,A_--_)!CH4!CF!CG!CF4!CH===============================================
114,A_-_-)!CF!CF5!CF!CF5!CF===============================================
115,A_-_-)!CF!CF5!CF!CF5!CG===============================================
116,A_-_-)!CF!CF5!CF!CF4!CH===============================================
117,A--_-)!CF!CF5!CF!CF!CH================================================
118,A-_--)!CF!CF!CF5!CF!CF================================================
119,A-_--)!CF!CH!CF4!CG!CF================================================
120,A_---)!CF!CF!CF!CF5!CF================================================
121,A_---)!CF!CF!CF!CF5!CG================================================
122,A_---)!CF!CG!CF!CF5!CG================================================
123,A_---)!CF!CH!CF!CF5!CF================================================
124,A_---)!CF!CH!CF!CF5!CG================================================
125,A_---)!CH!CF!CF!CF5!CF================================================
126,A_---)!CH!CF!CF!CF5!CG================================================
127,A_---)!CF!CF!CF!CF4!CH================================================
128,A_---)!CF!CF!CG!CF4!CH================================================
129,A_---)!CF!CF!CH!CF4!CH================================================
130,A_---)!CF!CH!CF!CF4!CH================================================
131,A_---)!CH!CF!CF!CF4!CH================================================
132,A----)!CF!CF!CF!CF!CF=================================================
133,A----)!CF!CF!CF!CF!CH=================================================
134,A----)!CF!CF!CF!CH!CF=================================================
135,A----)!CF!CF!CH!CF!CF=================================================
136,A----)!CF!CH!CF!CF!CH=================================================
137,A----)!CH!CF!CF!CF!CH=================================================
138,A---_)!CF5!CF@CF[8l!CF@CF[8l==========================================
139,A---_)!CF5!CF@CF[8l!CF@CG[8l==========================================
140,A---_)!CF5!CF@CF[8l!CF@CH[8l==========================================
141,A---_)!CG5!CF@CF[8l!CF@CF[8l==========================================
142,A---_)!CG5!CF@CF[8l!CF@CG[8l==========================================
143,A---_)!CG5!CF@CF[8l!CF@CH[8l==========================================
144,A---_)!CH4!CF@CF[8l!CF@CF[8l==========================================
145,A---_)!CH4!CF@CF[8l!CF@CG[8l==========================================
146,A---_)!CH4!CF@CF[8l!CF@CH[8l==========================================
147,A---_)!CH4!CF@CG[8l!CF@CF[8l==========================================
148,A----)!CF!CF@CF[8l!CF@CF[8l===========================================
149,A----)!CF!CF@CF[8l!CF@CH[8l===========================================
150,A----)!CF!CF@CG[8l!CF@CF[8l===========================================
151,A----)!CF!CH@CF[8l!CF@CF[8l===========================================
152,A----)!CH!CF@CF[8l!CF@CF[8l===========================================
153,A----)!CH!CF@CF[8l!CF@CG[8l===========================================
154,A----)!CH!CF@CF[8l!CF@CH[8l===========================================
155,A-_--)@CF[8l!CF!CF4!CF@CF[8l==========================================
156,A-_--)@CF[8l!CF!CG4!CF@CH[8l==========================================
157,A_---)@CF[8l!CH!CF!CF4@CF[8l==========================================
158,A----)@CF[8l!CF!CF!CF@CF[8l===========================================
159,A----)@CF[8l!CF!CF!CH@CF[8l===========================================
160,A----)@CF[8l!CF!CH!CF@CH[8l===========================================
161,A----)@CF[8l@CF[8m!CF!CF@CF%[8l8m=====================================
162,A----)@CF[8l@CF[8m!CF!CH@CF%[8l8m=====================================
163,A----)@CF[8l!CF@CF[8m!CH@CF%[8l8m=====================================
164,A_-_-)@CG[8l!CF4!CF!CF4@CG[8l=========================================
165,A_-_-)@CG[8l!CF4!CF!CG4@CG[8l=========================================
166,A_-_-)@CG[8l!CF4!CG!CF4@CG[8l=========================================
167,A_-_-)@CG[8l!CF4!CG!CG4@CF[8l=========================================
168,A_-_-)@CG[8l!CG4!CF!CF4@CG[8l=========================================
169,A_-_-)@CH[8l!CF4!CF!CF4@CG[8l=========================================
170,A_-_-)@CH[8l!CF4!CF!CG4@CG[8l=========================================
171,A_-_-)@CH[8l!CF4!CG!CF4@CG[8l=========================================
172,A_-_-)@CH[8l!CF4!CG!CG4@CF[8l=========================================
173,A_-_-)@CH[8l!CF4!CG!CG4@CG[8l=========================================
174,A_-_-)@CH[8l!CG4!CF!CF4@CG[8l=========================================
175,A_-_-)@CH[8l!CG4!CF!CG4@CG[8l=========================================
176,A_-_-)@CH[8l!CG4!CG!CG4@CG[8l=========================================
177,A_--)!CF#CF&(4-)!CG!CH!CF5!CF=========================================
178,A-_-)!CF#CF&*-)!CF!CH4!CG!CH==========================================
179,A-_--)!CF!CF#CF&*)!CF4!CG!CH==========================================
180,A---_-)!CH!CG4@CF[8l!CF!CF@CF[8l======================================
181,A---_-)!CH!CG4@CF[8l!CF!CG@CF[8l======================================
182,A---_-)!CH!CG4@CF[8l!CF!CH@CF[8l======================================
183,A--)!CK#CF]&*)!CK*)!CK!CK=============================================
184,A-_--_)!CG4@CF[8l!CG!CF4!CF@CH[8l=====================================
185,A-_--_)!CG4@CF[8l!CH!CF4!CF@CH[8l=====================================
186,A-_--_)!CH4@CF[8l!CG!CF4!CF@CG[8l=====================================
187,A-_--_)!CH4@CF[8l!CG!CF4!CF@CH[8l=====================================
188,A-_--_)!CH4@CF[8l!CH!CF4!CF@CH[8l=====================================
189,A-_-_-)!CF@CF[8l4!CF!CF4!CF@CG[8l=====================================
190,A-_-_-)!CF@CF[8l4!CF!CF4!CF@CH[8l=====================================
191,A-_-_-)!CF@CF[8l4!CF!CG4!CF@CH[8l=====================================
192,A-_-_-)!CF@CF[8l4!CG!CF4!CF@CH[8l=====================================
193,A-_-_-)!CG@CF[8l4!CF!CF4!CF@CG[8l=====================================
194,A-_-_-)!CG@CF[8l4!CF!CF4!CF@CH[8l=====================================
195,A-_-_-)!CG@CF[8l4!CF!CG4!CF@CH[8l=====================================
196,A-_-_-)!CG@CF[8l4!CG!CF4!CF@CH[8l=====================================
197,A-_-_-)!CH@CF[8l4!CF!CF4!CF@CG[8l=====================================
198,A-_-_-)!CH@CF[8l4!CF!CG4!CF@CG[8l=====================================
199,A-_-_-)!CH@CF[8l4!CG!CF4!CF@CG[8l=====================================
200,A_--_-)!CF@CF[8l4!CF!CG!CF4@CF[8l=====================================
201,A_--_-)!CF@CF[8l4!CF!CG!CF4@CG[8l=====================================
202,A_--_-)!CF@CF[8l4!CF!CH!CF4@CF[8l=====================================
203,A_--_-)!CF@CF[8l4!CF!CH!CF4@CG[8l=====================================
204,A_--_-)!CG@CF[8l4!CF!CG!CF4@CF[8l=====================================
205,A_--_-)!CG@CF[8l4!CF!CG!CF4@CG[8l=====================================
206,A_--_-)!CG@CF[8l4!CF!CH!CF4@CF[8l=====================================
207,A_--_-)!CG@CF[8l4!CF!CH!CF4@CG[8l=====================================
208,A_--_-)!CH@CF[8l4!CF!CG!CF4@CF[8l=====================================
209,A_--_-)!CH@CF[8l4!CF!CG!CF4@CG[8l=====================================
210,A_--_-)!CH@CF[8l4!CF!CH!CF4@CG[8l=====================================
211,A_-_--)!CF@CG[8l!CF4!CF!CF4@CF[8l=====================================
212,A_-_--)!CF@CG[8l!CF4!CF!CG4@CF[8l=====================================
213,A_-_-_)@CF[8l4!CF!CF4!CF!CF4@CF[8l====================================
214,A_-_-_)@CF[8l4!CF!CF4!CG!CF4@CF[8l====================================
215,A_-_-_)@CF[8l4!CF!CG4!CF!CF4@CG[8l====================================
216,A_-_-_)@CF[8l4!CF!CG4!CF!CG4@CF[8l====================================
217,A_-_-_)@CF[8l4!CG!CF4!CG!CF4@CG[8l====================================
218,A_--)!CF#CF]&*)!CF*)!CF!CF5!CF========================================
219,A_--)!CF#CF]&*)!CF*)!CF!CF5!CG========================================
220,A_--)!CF#CF]&*)!CF*)!CG!CF5!CG========================================
221,A_--)!CF#CF]&*)!CF*)!CH!CF5!CF========================================
222,A_--)!CF#CF]&*)!CF*)!CH!CF5!CG========================================
223,A_--)!CF#CF]&*)!CF*)!CF!CF4!CH========================================
224,A_--)!CF#CF]&*)!CF*)!CH!CF4!CH========================================
225,A---)!CF#CF]&*)!CF*)!CF!CF!CH=========================================
226,A---)!CF#CF]&*)!CF*)!CH!CF!CH=========================================
227,A---)!CF!CF#CF]&*)!CF*)!CF!CF=========================================
228,A---)!CF!CF#CF]&*)!CF*)!CF!CH=========================================
229,A---)!CF!CH#CF]&*)!CF*)!CF!CF=========================================
230,A_-_-)!CF!CF5!CF#CF&*)!CF4!CH=========================================
231,A_-_-)!CF!CF5!CF#CF&*)!CG4!CH=========================================
232,A--_-)!CF!CF5!CF#CF&*)!CF!CF==========================================
233,A--_-)!CF!CF5!CF#CF&*)!CF!CH==========================================
234,A_---)!CF#CF&(4)!CH!CF!CF5!CF=========================================
235,A_---)!CF#CF&(4)!CH!CF!CF5!CG=========================================
236,A_---)!CG#CF&(4)!CH!CF!CF5!CF=========================================
237,A_---)!CG#CF&(4)!CH!CF!CF5!CG=========================================
238,A_---)!CF#CF&(4)!CG!CG!CF4!CH=========================================
239,A_---)!CF#CF&(4)!CG!CH!CF4!CH=========================================
240,A_---)!CF#CF&(4)!CH!CF!CF4!CH=========================================
241,A_---)!CF#CF&(4)!CH!CG!CF4!CG=========================================
242,A_---)!CF#CF&(4)!CH!CG!CF4!CH=========================================
243,A_---)!CF#CF&(4)!CH!CH!CF4!CG=========================================
244,A_---)!CG#CF&(4)!CG!CG!CF4!CH=========================================
245,A_---)!CG#CF&(4)!CH!CF!CF4!CH=========================================
246,A_---)!CG#CF&(4)!CH!CG!CF4!CG=========================================
247,A_---)!CG#CF&(4)!CH!CG!CF4!CH=========================================
248,A_---)!CG#CF&(4)!CH!CH!CF4!CG=========================================
249,A_---)!CF#CF&*)!CF!CF!CF5!CF==========================================
250,A_---)!CF#CF&*)!CF!CF!CF5!CG==========================================
251,A_---)!CF#CF&*)!CH!CF!CF5!CF==========================================
252,A_---)!CF#CF&*)!CH!CF!CF5!CG==========================================
253,A_---)!CF#CG&*)!CF!CF!CF5!CG==========================================
254,A_---)!CF#CF&*)!CF!CF!CF4!CH==========================================
255,A_---)!CF#CF&*)!CF!CG!CF4!CH==========================================
256,A_---)!CF#CF&*)!CF!CH!CF4!CH==========================================
257,A_---)!CF#CF&*)!CH!CF!CF4!CH==========================================
258,A_---)!CF#CG&*)!CF!CF!CF4!CH==========================================
259,A----)!CF#CF&(4)!CH!CF!CF!CH==========================================
260,A_---)!CF!CF!CF#CF&*)!CF4!CH==========================================
261,A_---)!CF!CF!CF#CF&*)!CG4!CH==========================================
262,A_---)!CF!CF!CG#CF&*)!CF4!CH==========================================
263,A_---)!CF!CF!CG#CF&*)!CG4!CH==========================================
264,A_---)!CF!CF!CH#CF&*)!CF4!CH==========================================
265,A_---)!CF!CF!CH#CF&*)!CG4!CH==========================================
266,A_---)!CF!CH!CF#CF&*)!CF4!CH==========================================
267,A_---)!CF!CH!CF#CF&*)!CG4!CH==========================================
268,A----)!CG#CF&(4)!CH!CF!CF!CH==========================================
269,A----)!CF#CF&*)!CF!CF!CF!CH===========================================
270,A----)!CF#CF&*)!CH!CF!CF!CH===========================================
271,A----)!CF!CF!CF#CF&*)!CF!CF===========================================
272,A----)!CF!CF!CF#CF&*)!CF!CH===========================================
273,A----)!CF!CF!CH#CF&*)!CF!CF===========================================
274,A----)!CF!CH!CF#CF&*)!CF!CF===========================================
275,A----)!CF!CH!CF#CF&*)!CF!CH===========================================
276,A_--)!CF#CF&(4)!CH#CF&*)!CF4!CH=======================================
277,A_--)!CF#CF&(4)!CH#CF&*)!CG4!CG=======================================
278,A_--)!CF#CF&(4)!CH#CF&*)!CG4!CH=======================================
279,A_--)!CG#CF&(4)!CH#CF&*)!CG4!CH=======================================
280,A_--)!CF#CF&*)!CF#CF&*)!CF4!CH========================================
281,A_--)!CF#CF&*)!CF#CF&*)!CG4!CH========================================
282,A_--)!CF#CF&*)!CH#CF&*)!CF4!CH========================================
283,A_--)!CF#CF&*)!CH#CF&*)!CG4!CH========================================
284,A_--)!CF#CG&*)!CF#CF&*)!CF4!CH========================================
285,A_--)!CF#CG&*)!CF#CF&*)!CG4!CH========================================
286,A---)!CF#CF&*)!CF#CF&*)!CF!CF=========================================
287,A---)!CF#CF&*)!CF#CF&*)!CF!CH=========================================
288,A---)!CF#CF&*)!CH#CF&*)!CF!CH=========================================
289,A----)!CF$CF[8l&*)!CF!CF!CF@CF[8l=====================================
290,A----)!CF$CF[8l&*)!CF!CF!CF@CH[8l=====================================
291,A----)!CF$CF[8l&*)!CF!CF!CH@CF[8l=====================================
292,A----)!CF$CF[8l&*)!CH!CF!CF@CF[8l=====================================
293,A----)!CF$CF[8l&*)!CH!CF!CH@CF[8l=====================================
294,A----)!CF$CF[8l&*)!CF!CF@CF[8l!CH=====================================
295,A----)!CF$CF[8l&*)!CH!CF@CF[8l!CH=====================================
296,A----)!CF@CF[8l!CF$CF[8l&*)!CF!CF=====================================
297,A----)!CF@CF[8l!CF$CF[8l&*)!CF!CH=====================================
298,A----)!CF@CF[8l!CH$CF[8l&*)!CF!CF=====================================
299,A----)!CF@CG[8l!CF$CF[8l&*)!CF!CF=====================================
300,A----)!CF@CF[8l!CF#CF&(4)!CG@CH[8l====================================
301,A----)!CF@CF[8l!CF#CF&(4)!CH@CF[8l====================================
302,A----)!CF@CF[8l!CF#CF&(4)!CH@CG[8l====================================
303,A----)!CF@CF[8l!CF#CF&(4)!CH@CH[8l====================================
304,A----)!CF@CG[8l!CF#CF&(4)!CH@CF[8l====================================
305,A----)!CH@CF[8l!CF#CF&(4)!CH@CF[8l====================================
306,A----)!CF@CF[8l!CF#CF&*)!CF@CF[8l=====================================
307,A----)!CF@CF[8l!CF#CF&*)!CF@CH[8l=====================================
308,A----)!CF@CF[8l!CF#CF&*)!CH@CF[8l=====================================
309,A----)!CF@CG[8l!CF#CF&*)!CH@CF[8l=====================================
310,A----)!CH@CF[8l!CF#CF&*)!CH@CF[8l=====================================
311,A----)!CF@CF%[8l8m!CF#CF&*)@CF[8l@CF[8m===============================
312,A----)!CF@CF%[8l8m!CF#CF&*)@CF[8l@CH[8m===============================
313,A----)!CF@CF%[8l8m!CF#CG&*)@CF[8l@CF[8m===============================
314,A----)!CH@CF%[8l8m!CF#CF&*)@CF[8l@CF[8m===============================
315,A----)!CH@CF%[8l8m!CF#CG&*)@CF[8l@CF[8m===============================
316,A_-_)!CH4#CF&*_)!CF5!CF!CF5!CF========================================
317,A_-_)!CH4#CF&*_)!CF5!CF!CF5!CG========================================
318,A_-_)!CH4#CF&*_)!CF5!CG!CF5!CG========================================
319,A_--_)!CH4!CF#CF&(4)!CH!CF5!CF========================================
320,A_--_)!CH4!CF#CF&(4)!CH!CF5!CG========================================
321,A_--_)!CH4!CF#CF&(4)!CH!CF4!CH========================================
322,A_--)!CF#CF&*_)!CF5!CF!CF5!CF=========================================
323,A_--)!CF#CF&*_)!CF5!CF!CF5!CG=========================================
324,A_--)!CF#CF&*_)!CF5!CG!CF5!CG=========================================
325,A_--)!CG#CF&*_)!CF5!CF!CF5!CG=========================================
326,A_--)!CG#CF&*_)!CF5!CG!CF5!CG=========================================
327,A_--)!CH#CF&*_)!CF5!CF!CF5!CF=========================================
328,A_--)!CH#CF&*_)!CF5!CF!CF5!CG=========================================
329,A_--)!CH#CF&*_)!CF5!CG!CF5!CG=========================================
330,A_--)!CF#CF&*_)!CF4!CH!CF5!CF=========================================
331,A_--)!CF#CF&*_)!CF4!CH!CF5!CG=========================================
332,A_--)!CH#CF&*_)!CF4!CH!CF5!CF=========================================
333,A_--)!CH#CF&*_)!CF4!CH!CF5!CG=========================================
334,A_--)!CF#CF&*_)!CF4!CH!CF4!CH=========================================
335,A_--)!CF#CG&*_)!CF4!CG!CF4!CH=========================================
336,A_--)!CF#CG&*_)!CF4!CH!CF4!CH=========================================
337,A_--)!CH#CF&*_)!CF4!CH!CF4!CH=========================================
338,A_-_-)!CF!CG4#CF&*)!CG!CF5!CG=========================================
339,A_-_-)!CF!CG4#CF&*)!CG!CF4!CH=========================================
340,A_---)!CF!CF#CF&(4)!CH!CF5!CF=========================================
341,A_---)!CF!CF#CF&(4)!CH!CF5!CG=========================================
342,A_---)!CF!CG#CF&(4)!CG!CF5!CG=========================================
343,A_---)!CF!CG#CF&(4)!CH!CF5!CF=========================================
344,A_---)!CF!CH#CF&(4)!CH!CF5!CF=========================================
345,A_---)!CF!CH#CF&(4)!CH!CF5!CG=========================================
346,A_---)!CH!CF#CF&(4)!CH!CF5!CF=========================================
347,A_---)!CH!CF#CF&(4)!CH!CF5!CG=========================================
348,A_---)!CF!CF#CF&(4)!CH!CF4!CH=========================================
349,A_---)!CF!CG#CF&(4)!CG!CF4!CH=========================================
350,A_---)!CF!CG#CF&(4)!CH!CF4!CH=========================================
351,A_---)!CF!CH#CF&(4)!CH!CF4!CH=========================================
352,A_---)!CH!CF#CF&(4)!CH!CF4!CH=========================================
353,A----)!CF!CF#CF&(4)!CH!CF!CF==========================================
354,A----)!CF!CF#CF&(4)!CH!CF!CH==========================================
355,A----)!CF!CF#CF&(4)!CH!CG!CF==========================================
356,A----)!CF!CF#CF&(4)!CH!CH!CF==========================================
357,A----)!CF!CG#CF&(4)!CH!CF!CH==========================================
358,A----)!CF!CG#CF&(4)!CH!CG!CF==========================================
359,A----)!CF!CG#CF&(4)!CH!CH!CF==========================================
360,A----)!CF!CH#CF&(4)!CH!CF!CG==========================================
361,A----)!CF!CH#CF&(4)!CH!CF!CH==========================================
362,A----)!CH!CF#CF&(4)!CH!CF!CH==========================================
363,A-_--)!CF!CH#CF&*)!CF4!CG!CF==========================================
364,A_--)!CF#CF&*-)!CF!CH!CF5!CF==========================================
365,A_--)!CF#CF&*-)!CF!CH!CF5!CG==========================================
366,A_---)!CF!CF#CF&*)!CF!CF5!CF==========================================
367,A_---)!CF!CF#CF&*)!CF!CF5!CG==========================================
368,A_---)!CF!CF#CF&*)!CG!CF5!CG==========================================
369,A_---)!CF!CF#CF&*)!CH!CF5!CF==========================================
370,A_---)!CF!CF#CF&*)!CH!CF5!CG==========================================
371,A_---)!CF!CG#CF&*)!CF!CF5!CG==========================================
372,A_---)!CF!CH#CF&*)!CF!CF5!CF==========================================
373,A_---)!CF!CH#CF&*)!CF!CF5!CG==========================================
374,A_--)!CG#CF&*-)!CF!CH!CF5!CG==========================================
375,A_---)!CG!CF#CF&*)!CG!CF5!CG==========================================
376,A_---)!CG!CF#CF&*)!CH!CF5!CG==========================================
377,A_---)!CH!CF#CF&*)!CH!CF5!CF==========================================
378,A_---)!CH!CF#CF&*)!CH!CF5!CG==========================================
379,A_--)!CF#CF&*-)!CF!CH!CF4!CH==========================================
380,A_---)!CF!CF#CF&*)!CF!CF4!CH==========================================
381,A_---)!CF!CF#CF&*)!CH!CF4!CH==========================================
382,A_---)!CF!CF#CG&*)!CF!CF4!CH==========================================
383,A_---)!CF!CH#CF&*)!CF!CF4!CH==========================================
384,A_---)!CH!CF#CF&*)!CH!CF4!CH==========================================
385,A---)!CF#CF&*-)!CF!CH!CF!CH===========================================
386,A----)!CF!CF#CF&*)!CF!CF!CF===========================================
387,A----)!CF!CF#CF&*)!CF!CF!CH===========================================
388,A----)!CF!CF#CF&*)!CF!CH!CF===========================================
389,A----)!CF!CF#CF&*)!CH!CF!CF===========================================
390,A----)!CF!CF#CF&*)!CH!CF!CH===========================================
391,A----)!CF!CH#CF&*)!CF!CF!CH===========================================
392,A----)!CH!CF#CF&*)!CH!CF!CH===========================================
393,A_--)!CF$CF[8l&*-)!CF@CF[8l!CF5!CF====================================
394,A_--)!CF$CF[8l&*-)!CF@CF[8l!CF5!CG====================================
395,A_--)!CF$CF[8l&*-)!CF@CG[8l!CF5!CF====================================
396,A_--)!CF$CF[8l&*-)!CF@CG[8l!CF5!CG====================================
397,A_--)!CF$CF[8l&*-)!CF@CH[8l!CF5!CF====================================
398,A_--)!CF$CF[8l&*-)!CF@CH[8l!CF5!CG====================================
399,A_--)!CG$CF[8l&*-)!CF@CF[8l!CF5!CG====================================
400,A_--)!CH$CF[8l&*-)!CF@CF[8l!CF5!CF====================================
401,A_--)!CH$CF[8l&*-)!CF@CF[8l!CF5!CG====================================
402,A_--)!CF$CF[8l&*-)!CF@CF[8l!CF4!CH====================================
403,A_--)!CF$CF[8l&*-)!CF@CG[8l!CF4!CH====================================
404,A_--)!CF$CF[8l&*-)!CF@CH[8l!CF4!CH====================================
405,A_--)!CH$CF[8l&*-)!CF@CF[8l!CF4!CH====================================
406,A---)!CF$CF[8l&*-)!CF!CH!CF@CF[8l=====================================
407,A---)!CF$CF[8l&*-)!CF!CH!CF@CG[8l=====================================
408,A---)!CF$CF[8l&*-)!CF!CH!CF@CH[8l=====================================
409,A----)!CF!CF$CF[8l&*)!CF!CF@CF[8l=====================================
410,A----)!CF!CF$CF[8l&*)!CF!CF@CH[8l=====================================
411,A----)!CF!CF$CF[8l&*)!CH!CF@CF[8l=====================================
412,A----)!CF!CH$CF[8l&*)!CF!CF@CF[8l=====================================
413,A----)!CH!CF$CF[8l&*)!CH!CF@CF[8l=====================================
414,A_----)!CF@CF[8l!CF!CF@CF[8l4!CH======================================
415,A_----)!CF@CF[8l!CF!CG@CF[8l4!CH======================================
416,A_----)!CF@CF[8l!CF!CH@CF[8l4!CG======================================
417,A_----)!CF@CF[8l!CF!CH@CF[8l4!CH======================================
418,A_----)!CF@CF[8l!CG!CF@CF[8l4!CH======================================
419,A_----)!CF@CF[8l!CH!CF@CF[8l4!CH======================================
420,A_----)!CF@CG[8l!CF!CF@CF[8l4!CH======================================
421,A_----)!CG@CF[8l!CF!CH@CF[8l4!CG======================================
422,A_----)!CG@CF[8l!CF!CH@CF[8l4!CH======================================
423,A_----)!CH@CF[8l!CF!CF@CF[8l4!CH======================================
424,A_----)!CH@CF[8l!CF!CG@CF[8l4!CH======================================
425,A_----)!CH@CF[8l!CF!CH@CF[8l4!CG======================================
426,A_----)!CH@CF[8l!CF!CH@CF[8l4!CH======================================
427,A-----)!CF@CF[8l!CF!CF@CF[8l!CF=======================================
